tag,family,active_keys,max_entries,key_size,value_size,environment,run,case,real_ns_per_invocation,control_ns_per_invocation,net_ns_per_helper
key0016,key,512,1024,16,8,bpftime,1,percpu_hash_lookup,235928.275200000,1267.564800000,234.660710400
key0016,key,512,1024,16,8,bpftime,1,percpu_hash_update,312069.363200000,2117.504000000,309.951859200
key0016,key,512,1024,16,8,bpftime,2,hash_lookup,78515.974400000,1269.299200000,77.246675200
key0016,key,512,1024,16,8,bpftime,2,hash_update,76591.532800000,1559.001600000,75.032531200
key0016,key,512,1024,16,8,bpftime,2,percpu_hash_lookup,235746.617600000,1269.299200000,234.477318400
key0016,key,512,1024,16,8,bpftime,2,percpu_hash_update,311963.468800000,1559.001600000,310.404467200
key0016,key,512,1024,16,8,bpftime,3,hash_lookup,78765.203200000,1270.963200000,77.494240000
key0016,key,512,1024,16,8,bpftime,3,hash_update,77219.020800000,1566.624000000,75.652396800
key0016,key,512,1024,16,8,bpftime,3,percpu_hash_lookup,235508.588800000,1270.963200000,234.237625600
key0016,key,512,1024,16,8,bpftime,3,percpu_hash_update,312132.211200000,1566.624000000,310.565587200
key0016,key,512,1024,16,8,bpftime,4,hash_lookup,79278.905600000,1266.880000000,78.012025600
key0016,key,512,1024,16,8,bpftime,4,hash_update,77934.252800000,1557.139200000,76.377113600
key0016,key,512,1024,16,8,bpftime,4,percpu_hash_lookup,235582.380800000,1266.880000000,234.315500800
key0016,key,512,1024,16,8,bpftime,4,percpu_hash_update,311505.523200000,1557.139200000,309.948384000
key0016,key,512,1024,16,8,bpftime,5,hash_lookup,78476.800000000,1271.776000000,77.205024000
key0016,key,512,1024,16,8,bpftime,5,hash_update,77005.836800000,1558.361600000,75.447475200
key0016,key,512,1024,16,8,bpftime,5,percpu_hash_lookup,235707.660800000,1271.776000000,234.435884800
key0016,key,512,1024,16,8,bpftime,5,percpu_hash_update,312239.052800000,1558.361600000,310.680691200
key0064,key,512,1024,64,8,kernel,1,hash_lookup,72220.172800000,6451.072000000,65.769100800
key0064,key,512,1024,64,8,kernel,1,hash_update,137045.523200000,6749.164800000,130.296358400
key0064,key,512,1024,64,8,kernel,1,percpu_hash_lookup,71393.030400000,6451.072000000,64.941958400
key0064,key,512,1024,64,8,kernel,1,percpu_hash_update,112458.905600000,6749.164800000,105.709740800
key0064,key,512,1024,64,8,kernel,2,hash_lookup,72089.625600000,6454.182400000,65.635443200
key0064,key,512,1024,64,8,kernel,2,hash_update,137342.828800000,6751.993600000,130.590835200
key0064,key,512,1024,64,8,kernel,2,percpu_hash_lookup,71461.568000000,6454.182400000,65.007385600
key0064,key,512,1024,64,8,kernel,2,percpu_hash_update,112533.184000000,6751.993600000,105.781190400
key0064,key,512,1024,64,8,kernel,3,hash_lookup,71936.819200000,6448.659200000,65.488160000
key0064,key,512,1024,64,8,kernel,3,hash_update,137171.859200000,6745.990400000,130.425868800
key0064,key,512,1024,64,8,kernel,3,percpu_hash_lookup,71406.515200000,6448.659200000,64.957856000
key0064,key,512,1024,64,8,kernel,3,percpu_hash_update,112434.278400000,6745.990400000,105.688288000
key0064,key,512,1024,64,8,kernel,4,hash_lookup,72199.129600000,6445.830400000,65.753299200
key0064,key,512,1024,64,8,kernel,4,hash_update,137572.166400000,6750.374400000,130.821792000
key0064,key,512,1024,64,8,kernel,4,percpu_hash_lookup,71447.654400000,6445.830400000,65.001824000
key0064,key,512,1024,64,8,kernel,4,percpu_hash_update,112503.769600000,6750.374400000,105.753395200
key0064,key,512,1024,64,8,kernel,5,hash_lookup,72175.692800000,6448.684800000,65.727008000
key0064,key,512,1024,64,8,kernel,5,hash_update,137516.908800000,6744.006400000,130.772902400
key0064,key,512,1024,64,8,kernel,5,percpu_hash_lookup,71352.556800000,6448.684800000,64.903872000
key0064,key,512,1024,64,8,kernel,5,percpu_hash_update,112360.588800000,6744.006400000,105.616582400
key0064,key,512,1024,64,8,bpftime,1,hash_lookup,164001.056000000,3850.438400000,160.150617600
key0064,key,512,1024,64,8,bpftime,1,hash_update,163958.374400000,4730.124800000,159.228249600
key0064,key,512,1024,64,8,bpftime,1,percpu_hash_lookup,568590.086400000,3850.438400000,564.739648000
key0064,key,512,1024,64,8,bpftime,1,percpu_hash_update,643164.870400000,4730.124800000,638.434745600
key0064,key,512,1024,64,8,bpftime,2,hash_lookup,165335.481600000,3850.329600000,161.485152000
key0064,key,512,1024,64,8,bpftime,2,hash_update,163800.460800000,4757.561600000,159.042899200
key0064,key,512,1024,64,8,bpftime,2,percpu_hash_lookup,568907.136000000,3850.329600000,565.056806400
key0064,key,512,1024,64,8,bpftime,2,percpu_hash_update,643282.297600000,4757.561600000,638.524736000
key0064,key,512,1024,64,8,bpftime,3,hash_lookup,163725.388800000,4154.265600000,159.571123200
key0064,key,512,1024,64,8,bpftime,3,hash_update,164802.105600000,5021.497600000,159.780608000
key0064,key,512,1024,64,8,bpftime,3,percpu_hash_lookup,569280.979200000,4154.265600000,565.126713600
key0064,key,512,1024,64,8,bpftime,3,percpu_hash_update,642326.969600000,5021.497600000,637.305472000
key0064,key,512,1024,64,8,bpftime,4,hash_lookup,164178.515200000,3844.556800000,160.333958400
key0064,key,512,1024,64,8,bpftime,4,hash_update,164854.700800000,4433.062400000,160.421638400
key0064,key,512,1024,64,8,bpftime,4,percpu_hash_lookup,569729.888000000,3844.556800000,565.885331200
key0064,key,512,1024,64,8,bpftime,4,percpu_hash_update,643316.710400000,4433.062400000,638.883648000
key0064,key,512,1024,64,8,bpftime,5,hash_lookup,164932.076800000,3854.393600000,161.077683200
key0064,key,512,1024,64,8,bpftime,5,hash_update,164142.739200000,4620.729600000,159.522009600
key0064,key,512,1024,64,8,bpftime,5,percpu_hash_lookup,569766.886400000,3854.393600000,565.912492800
key0064,key,512,1024,64,8,bpftime,5,percpu_hash_update,643153.376000000,4620.729600000,638.532646400
val0064,value,512,1024,4,64,kernel,1,hash_lookup,23752.851200000,2680.710400000,21.072140800
val0064,value,512,1024,4,64,kernel,1,hash_update,92912.192000000,5585.420800000,87.326771200
val0064,value,512,1024,4,64,kernel,1,percpu_hash_lookup,24560.390400000,2680.710400000,21.879680000
val0064,value,512,1024,4,64,kernel,1,percpu_hash_update,67610.668800000,5585.420800000,62.025248000
val0064,value,512,1024,4,64,kernel,2,hash_lookup,23711.590400000,2684.371200000,21.027219200
val0064,value,512,1024,4,64,kernel,2,hash_update,92717.081600000,5588.000000000,87.129081600
val0064,value,512,1024,4,64,kernel,2,percpu_hash_lookup,24438.278400000,2684.371200000,21.753907200
val0064,value,512,1024,4,64,kernel,2,percpu_hash_update,67470.297600000,5588.000000000,61.882297600
val0064,value,512,1024,4,64,kernel,3,hash_lookup,23860.275200000,2685.088000000,21.175187200
val0064,value,512,1024,4,64,kernel,3,hash_update,93163.456000000,5582.720000000,87.580736000
val0064,value,512,1024,4,64,kernel,3,percpu_hash_lookup,24494.912000000,2685.088000000,21.809824000
val0064,value,512,1024,4,64,kernel,3,percpu_hash_update,67554.624000000,5582.720000000,61.971904000
val0064,value,512,1024,4,64,kernel,4,hash_lookup,23782.604800000,2675.411200000,21.107193600
val0064,value,512,1024,4,64,kernel,4,hash_update,92719.155200000,5587.193600000,87.131961600
val0064,value,512,1024,4,64,kernel,4,percpu_hash_lookup,24524.704000000,2675.411200000,21.849292800
val0064,value,512,1024,4,64,kernel,4,percpu_hash_update,67498.611200000,5587.193600000,61.911417600
val0064,value,512,1024,4,64,kernel,5,hash_lookup,23963.686400000,2684.627200000,21.279059200
val0064,value,512,1024,4,64,kernel,5,hash_update,93074.752000000,5599.276800000,87.475475200
