tag,case,control,reason,environment,metric,run,iterations,real_count,control_count,net_per_helper
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,kernel,instructions,1,5000,1687782045.000,235866180.000,290.383173000
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,kernel,instructions,2,5000,1687801164.000,235906088.000,290.379015200
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,kernel,instructions,3,5000,1687816359.000,235897060.000,290.383859800
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,bpftime,cycles,1,5000,5237794100.000,350073104.000,977.544199200
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,bpftime,cycles,2,5000,5239110007.000,350408478.000,977.740305800
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,bpftime,cycles,3,5000,5237929650.000,353121393.000,976.961651400
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,bpftime,instructions,1,5000,16091313799.000,692388615.000,3079.785036800
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,bpftime,instructions,2,5000,16091848877.000,692160580.000,3079.937659400
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,bpftime,instructions,3,5000,16091032744.000,692663326.000,3079.673883600
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,kernel,cycles,1,5000,1004847622.000,96419271.000,181.685670200
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,kernel,cycles,2,5000,1006669131.000,96270970.000,182.079632200
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,kernel,cycles,3,5000,1004642299.000,96336455.000,181.661168800
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,kernel,instructions,1,5000,2423171122.000,235918222.000,437.450580000
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,kernel,instructions,2,5000,2423183568.000,235949753.000,437.446763000
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,kernel,instructions,3,5000,2423202833.000,235917515.000,437.457063600
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,bpftime,cycles,1,5000,5872937663.000,355857149.000,1103.416102800
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,bpftime,cycles,2,5000,5874177349.000,356309542.000,1103.573561400
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,bpftime,cycles,3,5000,5863683451.000,355133088.000,1101.710072600
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,bpftime,instructions,1,5000,18489525545.000,692965870.000,3559.311935000
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,bpftime,instructions,2,5000,18494401899.000,698460897.000,3559.188200400
key0064,percpu_hash_update,update_control,64B-key per-CPU update endpoint,bpftime,instructions,3,5000,18494691758.000,697542210.000,3559.429909600
val0256,hash_update,update_control,256B-value ordinary update endpoint,kernel,cycles,1,5000,1078343836.000,123407492.000,190.987268800
val0256,hash_update,update_control,256B-value ordinary update endpoint,kernel,cycles,2,5000,1079750021.000,122983754.000,191.353253400
val0256,hash_update,update_control,256B-value ordinary update endpoint,kernel,cycles,3,5000,1079005704.000,122934680.000,191.214204800
val0256,hash_update,update_control,256B-value ordinary update endpoint,kernel,instructions,1,5000,2425961013.000,286809045.000,427.830393600
val0256,hash_update,update_control,256B-value ordinary update endpoint,kernel,instructions,2,5000,2425932704.000,286767393.000,427.833062200
val0256,hash_update,update_control,256B-value ordinary update endpoint,kernel,instructions,3,5000,2425935399.000,286770663.000,427.832947200
val0256,hash_update,update_control,256B-value ordinary update endpoint,bpftime,cycles,1,5000,788275594.000,350918120.000,87.471494800
val0256,hash_update,update_control,256B-value ordinary update endpoint,bpftime,cycles,2,5000,793872068.000,379218931.000,82.930627400
val0256,hash_update,update_control,256B-value ordinary update endpoint,bpftime,cycles,3,5000,790715209.000,377786317.000,82.585778400
val0256,hash_update,update_control,256B-value ordinary update endpoint,bpftime,instructions,1,5000,2181972724.000,702781997.000,295.838145400
val0256,hash_update,update_control,256B-value ordinary update endpoint,bpftime,instructions,2,5000,2186363377.000,708598255.000,295.553024400
val0256,hash_update,update_control,256B-value ordinary update endpoint,bpftime,instructions,3,5000,2186088472.000,708218780.000,295.573938400
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,kernel,cycles,1,5000,829056880.000,122974126.000,141.216550800
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,kernel,cycles,2,5000,828703586.000,123053480.000,141.130021200
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,kernel,cycles,3,5000,829643787.000,123170032.000,141.294751000
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,kernel,instructions,1,5000,1844353930.000,286763081.000,311.518169800
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,kernel,instructions,2,5000,1844353049.000,286789425.000,311.512724800
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,kernel,instructions,3,5000,1844366549.000,286784826.000,311.516344600
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,bpftime,cycles,1,5000,9209880965.000,347525009.000,1772.471191200
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,bpftime,cycles,2,5000,9240733381.000,381871438.000,1771.772388600
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,bpftime,cycles,3,5000,9250169524.000,377335062.000,1774.566892400
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,bpftime,instructions,1,5000,30216868213.000,708128826.000,5901.747877400
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,bpftime,instructions,2,5000,30216259497.000,702455145.000,5902.760870400
val0256,percpu_hash_update,update_control,256B-value per-CPU update endpoint,bpftime,instructions,3,5000,30220479926.000,707293320.000,5902.637321200
